Season,Position,Team,Matches,Wins,Draws,Losses,Goals,Points,GF,GA,Arrivals,Expenditure,Departures,Income,Balance,Squad,Average_age,Market_value,Pts_year_before
2011,16 ,AC Ajaccio,38,9,14,15,40:61,41,40,61,11,200000,7,0,200000,33,26.2,26550000,41
2012,17 ,AC Ajaccio,38,9,15,14,39:51,40,39,51,11,0,9,0,0,32,27.2,34100000,41
2013,20 ,AC Ajaccio,38,4,11,23,37:72,23,37,72,19,0,16,0,0,38,25.4,28300000,40
2011,20 ,AJ Auxerre,38,7,13,18,46:57,34,46,57,24,2750000,13,3500000,-750000,42,24.0,50900000,34
2013,2 ,AS Monaco,38,23,11,4,63:31,80,63,31,33,149200000,24,4750000,144450000,45,25.1,242550000,80
2014,3 ,AS Monaco,38,20,11,7,51:26,71,51,26,30,24000000,29,89120000,-65120000,34,24.1,187700000,80
2015,3 ,AS Monaco,38,17,14,7,57:50,65,57,50,38,88560000,28,175400000,-86840000,39,23.3,227400000,71
2016,1 ,AS Monaco,38,30,5,3,107:31,95,107,31,29,42000000,23,14950000,27050000,47,23.2,309550000,65
2017,2 ,AS Monaco,38,24,8,6,85:45,80,85,45,33,101500000,18,177500000,-76000000,38,23.5,529799999,95
2018,17 ,AS Monaco,38,8,12,18,38:57,36,38,57,40,122200000,23,330350000,-208150000,57,23.4,385830000,80
2019,9 ,AS Monaco,28,11,7,10,44:44,54,44,44,45,140000000,33,83000000,57000000,39,25.3,331030000,36
2020,3 ,AS Monaco,38,24,6,8,76:42,78,76,42,47,36000000,30,12080000,23920000,33,24.0,370350000,54
2021,6 ,AS Monaco,23,10,6,7,37:26,36,37,26,26,34500000,21,31250000,3250000,29,24.0,360200000,78
2011,11 ,AS Nancy-Lorraine,38,11,12,15,38:48,45,38,48,19,5200000,19,8900000,-3700000,37,25.4,53900000,45
2012,18 ,AS Nancy-Lorraine,38,9,11,18,38:58,38,38,58,25,4700000,18,4000000,700000,37,23.2,36850000,45
2016,19 ,AS Nancy-Lorraine,38,9,8,21,29:52,35,29,52,13,2300000,10,5500000,-3200000,30,26.1,33100000,38
2011,7 ,AS Saint-Étienne,38,16,9,13,49:45,57,49,45,24,14000000,16,28360000,-14360000,36,25.2,85600000,57
2012,5 ,AS Saint-Étienne,38,16,15,7,60:32,63,60,32,19,4500000,19,4600000,-100000,34,24.8,97600000,57
2013,4 ,AS Saint-Étienne,38,20,9,9,56:34,69,56,34,18,15600000,16,23350000,-7750000,34,25.3,105400000,63
2014,5 ,AS Saint-Étienne,38,19,12,7,51:30,69,51,30,9,4000000,13,0,4000000,31,25.4,83350000,69
2015,6 ,AS Saint-Étienne,38,17,7,14,42:37,58,42,37,17,12600000,13,23200000,-10600000,40,25.1,97200000,69
2016,8 ,AS Saint-Étienne,38,12,14,12,41:42,50,41,42,15,7000000,17,2250000,4750000,42,24.0,85030000,58
2017,7 ,AS Saint-Étienne,38,15,10,13,47:50,55,47,50,17,19300000,18,12000000,7300000,40,24.8,106880000,50
2018,4 ,AS Saint-Étienne,38,19,9,10,59:41,66,59,41,24,15000000,20,9200000,5800000,42,24.3,131250000,55
2019,17 ,AS Saint-Étienne,28,8,6,14,29:45,40,29,45,32,13000000,17,43850000,-30850000,41,24.8,104830000,66
2020,11 ,AS Saint-Étienne,38,12,10,16,42:54,46,42,54,24,4500000,23,44100000,-39600000,43,23.6,154650000,40
2021,20 ,AS Saint-Étienne,23,4,6,13,22:44,18,22,44,9,300000,14,0,300000,30,24.9,106900000,46
2017,13 ,Amiens SC,38,12,9,17,37:42,45,37,42,22,5630000,17,8000000,-2370000,34,27.3,69850000,45
2018,15 ,Amiens SC,38,9,11,18,31:52,38,31,52,25,7490000,28,10000000,-2510000,36,25.4,70500000,45
2019,19 ,Amiens SC,28,4,11,13,31:50,31,31,50,27,18150000,20,5440000,12710000,37,25.3,62080000,38
2021,15 ,Clermont Foot 63,23,6,6,11,23:39,24,23,39,23,0,15,0,0,27,25.9,42650000,24
2011,19 ,Dijon FCO,38,9,9,20,38:63,36,38,63,21,4800000,16,0,4800000,34,24.9,36800000,36
2016,16 ,Dijon FCO,38,8,13,17,46:58,37,46,58,16,1650000,14,1250000,400000,33,26.3,31200000,36
2017,11 ,Dijon FCO,38,13,9,16,55:73,48,55,73,16,5500000,14,15000000,-9500000,35,25.6,70300000,37
2018,18 ,Dijon FCO,38,9,7,22,31:60,34,31,60,15,5200000,13,4000000,1200000,32,25.7,65800000,48
2019,16 ,Dijon FCO,28,7,9,12,27:37,40,27,37,15,8000000,16,24500000,-16500000,31,25.3,50230000,34
2020,20 ,Dijon FCO,38,4,9,25,25:73,21,25,73,21,15800000,20,17000000,-1200000,37,24.3,65629999,40
2013,16 ,EA Guingamp,38,11,9,18,34:42,42,34,42,10,700000,11,7500000,-6800000,30,26.6,21430000,42
2014,10 ,EA Guingamp,38,15,4,19,41:55,49,41,55,12,2560000,14,2500000,60000,31,26.8,36250000,42
2015,16 ,EA Guingamp,38,11,11,16,47:56,44,47,56,16,1950000,13,6000000,-4050000,31,26.8,33500000,49
2016,10 ,EA Guingamp,38,14,8,16,46:53,50,46,53,16,0,17,2500000,-2500000,35,26.2,42500000,44
2017,12 ,EA Guingamp,38,12,11,15,48:59,47,48,59,15,1380000,14,1450000,-70000,30,26.7,51900000,50
2018,20 ,EA Guingamp,38,5,12,21,28:68,27,28,68,13,3500000,13,4000000,-500000,37,25.3,70650000,47
2012,19 ,ESTAC Troyes,38,8,13,17,43:61,37,43,61,19,500000,14,3250000,-2750000,31,26.2,21800000,37
2015,20 ,ESTAC Troyes,38,3,9,26,28:83,18,28,83,18,300000,17,5500000,-5200000,37,26.3,30700000,37
2017,19 ,ESTAC Troyes,38,9,6,23,32:59,33,32,59,10,0,12,0,0,30,26.0,45050000,18
2021,16 ,ESTAC Troyes,23,5,6,12,20:31,21,20,31,25,19100000,18,0,19100000,32,26.0,58750000,33
2011,5 ,FC Girondins Bordeaux,38,16,13,9,53:41,61,53,41,17,0,13,12500000,-12500000,30,25.2,82050000,61
2012,7 ,FC Girondins Bordeaux,38,13,16,9,40:34,55,40,34,11,0,6,3500000,-3500000,30,26.1,80950000,61
2013,7 ,FC Girondins Bordeaux,38,13,14,11,49:43,53,49,43,13,3500000,7,9500000,-6000000,38,25.4,62700000,55
2014,6 ,FC Girondins Bordeaux,38,17,12,9,47:44,63,47,44,18,3500000,12,4500000,-1000000,39,23.8,71500000,53
2015,11 ,FC Girondins Bordeaux,38,12,14,12,50:57,50,50,57,10,3000000,12,4500000,-1500000,42,23.5,90700000,63
2016,6 ,FC Girondins Bordeaux,38,15,14,9,53:43,59,53,43,14,8850000,13,400000,8450000,36,24.6,88900000,50
2017,6 ,FC Girondins Bordeaux,38,16,7,15,53:48,55,53,48,26,31600000,22,28250000,3350000,37,24.1,155450000,59
2018,14 ,FC Girondins Bordeaux,38,10,11,17,34:42,41,34,42,20,13690000,16,50700000,-37010000,43,23.8,179000000,55
2019,12 ,FC Girondins Bordeaux,28,9,10,9,40:34,50,40,34,19,7000000,16,34250000,-27250000,31,25.0,125350000,41
2020,12 ,FC Girondins Bordeaux,38,13,6,19,42:56,45,42,56,17,0,11,14500000,-14500000,36,25.4,105700000,50
2021,19 ,FC Girondins Bordeaux,23,4,8,11,34:58,20,34,58,22,8800000,24,14860000,-6060000,30,25.1,87850000,45
2011,17 ,FC Lorient,38,9,12,17,35:49,39,35,49,21,9000000,19,16000000,-7000000,36,24.9,54050000,39
2012,8 ,FC Lorient,38,14,11,13,57:58,53,57,58,12,10000000,11,3000000,7000000,35,25.7,63750000,39
2013,8 ,FC Lorient,38,13,10,15,48:53,49,48,53,18,3000000,16,12090000,-9090000,38,24.1,57150000,53
2014,16 ,FC Lorient,38,12,7,19,44:50,43,44,50,17,5000000,16,19000000,-14000000,39,24.7,59950000,49
2015,15 ,FC Lorient,38,11,13,14,47:58,46,47,58,15,8130000,14,12000000,-3870000,35,24.7,58050000,43
2016,18 ,FC Lorient,38,10,6,22,44:70,36,44,70,29,5600000,17,32000000,-26400000,41,25.1,61400000,46
2020,16 ,FC Lorient,38,11,9,18,50:68,42,50,68,25,26500000,21,6500000,20000000,34,26.4,73530000,36
2021,17 ,FC Lorient,23,4,8,11,20:38,20,20,38,17,6000000,13,10000000,-4000000,27,25.4,52800000,42
2014,19 ,FC Metz,38,7,9,22,31:61,30,31,61,24,1900000,18,5000000,-3100000,32,25.4,29850000,30
2016,14 ,FC Metz,38,11,10,17,39:72,43,39,72,29,0,28,775000,-775000,39,24.5,37550000,30
2017,20 ,FC Metz,38,6,8,24,34:76,26,34,76,25,3600000,22,22600000,-19000000,44,24.7,51200000,43
2019,15 ,FC Metz,28,8,10,10,27:35,46,27,35,24,10350000,16,800000,9550000,32,24.4,54100000,26
2020,10 ,FC Metz,38,12,11,15,44:48,47,44,48,25,14700000,20,10000000,4700000,35,24.6,103500000,46
2021,18 ,FC Metz,23,4,8,11,24:43,20,24,43,24,0,15,21500000,-21500000,30,25.5,89700000,47
2013,13 ,FC Nantes,38,12,11,15,38:43,46,38,43,9,3350000,9,0,3350000,34,25.1,39550000,46
2014,14 ,FC Nantes,38,11,12,15,29:40,45,29,40,11,420000,8,0,420000,30,25.0,46850000,46
2015,14 ,FC Nantes,38,12,12,14,33:44,48,33,44,12,5000000,14,17050000,-12050000,32,24.8,39300000,45
2016,7 ,FC Nantes,38,14,9,15,40:54,51,40,54,10,5000000,12,2150000,2850000,30,24.4,50900000,48
2017,9 ,FC Nantes,38,14,10,14,36:41,52,36,41,17,11300000,10,10000000,1300000,36,24.6,105700000,51
2018,12 ,FC Nantes,38,13,9,16,48:48,48,48,48,16,14350000,17,5200000,9150000,40,24.6,119500000,52
2019,13 ,FC Nantes,28,11,4,13,28:31,50,28,31,24,14750000,21,38500000,-23750000,35,25.0,106300000,48
2020,18 ,FC Nantes,38,9,13,16,47:55,40,47,55,16,5000000,13,500000,4500000,32,25.4,95080000,50
2021,10 ,FC Nantes,23,9,5,9,30:28,32,30,28,14,7500000,14,15600000,-8100000,26,25.9,89500000,40
2011,14 ,FC Sochaux-Montbéliard,38,11,9,18,40:60,42,40,60,10,3500000,13,9000000,-5500000,36,23.3,58800000,42
2012,15 ,FC Sochaux-Montbéliard,38,10,11,17,41:57,41,41,57,14,7550000,10,16860000,-9310000,34,24.7,46850000,42
2013,18 ,FC Sochaux-Montbéliard,38,10,10,18,37:61,40,37,61,14,2150000,16,2500000,-350000,44,24.3,47450000,41
2011,8 ,FC Toulouse,38,15,11,12,37:34,56,37,34,10,12040000,12,4800000,7240000,33,23.0,83050000,56
2012,10 ,FC Toulouse,38,13,12,13,49:47,51,49,47,10,0,11,8100000,-8100000,32,23.6,82000000,56
2013,9 ,FC Toulouse,38,12,13,13,46:53,49,46,53,13,8600000,11,20700000,-12100000,39,23.8,67400000,51
2014,17 ,FC Toulouse,38,12,6,20,43:64,42,43,64,11,3000000,8,13700000,-10700000,36,23.7,48800000,49
