Season,Team,Arrivals,Expenditure,Departures,Income,Balance
2011,Paris Saint-Germain,14,€87.10m,11,€2.80m,€-84.30m
2011,AS Saint-Étienne,17,€14.00m,16,€28.36m,€14.36m
2011,LOSC Lille,16,€14.00m,14,€25.90m,€11.90m
2011,FC Toulouse,10,€12.04m,12,€4.80m,€-7.24m
2011,Olympique Marseille,12,€11.00m,15,-,€-11.00m
2011,Stade Rennais FC,9,€10.20m,12,€4.50m,€-5.70m
2011,FC Lorient,18,€9.00m,17,€16.00m,€7.00m
2011,OGC Nice,16,€5.60m,15,€100k,€-5.50m
2011,AS Nancy-Lorraine,12,€5.20m,14,€8.90m,€3.70m
2011,Dijon FCO,16,€4.80m,14,-,€-4.80m
2011,Olympique Lyon,10,€4.60m,7,€22.00m,€17.40m
2011,FC Sochaux-Montbéliard,8,€3.50m,11,€9.00m,€5.50m
2011,Valenciennes FC,5,€3.10m,5,€3.20m,€100k
2011,AJ Auxerre,18,€2.75m,12,€3.50m,€750k
2011,Montpellier HSC,9,€2.00m,10,€2.00m,+-0
2011,Stade Brestois 29,11,€2.00m,8,-,€-2.00m
2011,FC Évian Thonon Gaillard,16,€1.85m,12,-,€-1.85m
2011,AC Ajaccio,10,€200k,6,-,€-200k
2011,FC Girondins Bordeaux,14,-,13,€12.50m,€12.50m
2011,SM Caen,11,-,10,€9.00m,€9.00m
2012,Paris Saint-Germain,9,€111.00m,8,€2.75m,€-108.25m
2012,LOSC Lille,10,€16.30m,10,€35.00m,€18.70m
2012,Montpellier HSC,11,€12.50m,4,€12.00m,€-500k
2012,FC Lorient,8,€10.00m,9,€3.00m,€-7.00m
2012,Olympique Lyon,15,€8.75m,16,€29.10m,€20.35m
2012,FC Sochaux-Montbéliard,13,€7.55m,9,€16.86m,€9.31m
2012,Stade Rennais FC,11,€6.50m,13,€15.50m,€9.00m
2012,AS Nancy-Lorraine,20,€4.70m,17,€4.00m,€-700k
2012,OGC Nice,16,€4.50m,15,€8.70m,€4.20m
2012,AS Saint-Étienne,14,€4.50m,15,€4.60m,€100k
2012,Olympique Marseille,10,€2.80m,10,€17.30m,€14.50m
2012,Stade Brestois 29,9,€2.45m,11,€500k,€-1.95m
2012,Stade Reims,10,€2.25m,16,-,€-2.25m
2012,FC Évian Thonon Gaillard,6,€1.60m,10,-,€-1.60m
2012,Valenciennes FC,7,€1.30m,6,-,€-1.30m
2012,ESTAC Troyes,12,€500k,11,€3.25m,€2.75m
2012,FC Girondins Bordeaux,5,-,5,€3.50m,€3.50m
2012,FC Toulouse,7,-,8,€8.10m,€8.10m
2012,SC Bastia,11,-,8,€4.00m,€4.00m
2012,AC Ajaccio,10,-,8,-,+-0
2013,AS Monaco,21,€149.20m,22,€4.75m,€-144.45m
2013,Paris Saint-Germain,16,€110.90m,17,€26.50m,€-84.40m
2013,Olympique Marseille,12,€38.70m,13,€750k,€-37.95m
2013,AS Saint-Étienne,14,€15.60m,12,€23.35m,€7.75m
2013,FC Toulouse,12,€8.60m,10,€20.70m,€12.10m
2013,Stade Rennais FC,18,€6.75m,18,€16.60m,€9.85m
2013,Olympique Lyon,14,€4.00m,7,€24.50m,€20.50m
2013,FC Girondins Bordeaux,9,€3.50m,6,€9.50m,€6.00m
2013,FC Nantes,8,€3.35m,6,-,€-3.35m
2013,Stade Reims,10,€3.13m,6,-,€-3.13m
2013,FC Lorient,13,€3.00m,14,€12.09m,€9.09m
2013,LOSC Lille,15,€2.95m,12,€42.00m,€39.05m
2013,Montpellier HSC,9,€2.50m,12,€14.50m,€12.00m
2013,FC Évian Thonon Gaillard,14,€2.30m,15,€7.80m,€5.50m
2013,FC Sochaux-Montbéliard,9,€2.15m,12,€2.50m,€350k
2013,SC Bastia,14,€1.80m,18,€2.20m,€400k
2013,Valenciennes FC,9,€1.20m,9,€6.00m,€4.80m
2013,EA Guingamp,9,€700k,10,€7.50m,€6.80m
2013,OGC Nice,11,-,7,-,+-0
2013,AC Ajaccio,16,-,14,-,+-0
2014,Paris Saint-Germain,7,€49.50m,7,€1.50m,€-48.00m
2014,AS Monaco,21,€24.00m,25,€89.12m,€65.12m
2014,Olympique Marseille,15,€20.50m,15,€17.50m,€-3.00m
2014,Stade Rennais FC,19,€11.09m,15,€20.50m,€9.42m
2014,FC Lorient,14,€5.00m,14,€19.00m,€14.00m
2014,LOSC Lille,8,€4.80m,9,€14.43m,€9.63m
2014,AS Saint-Étienne,8,€4.00m,11,-,€-4.00m
2014,FC Girondins Bordeaux,15,€3.50m,11,€4.50m,€1.00m
2014,Montpellier HSC,9,€3.50m,9,€15.90m,€12.40m
2014,FC Toulouse,10,€3.00m,8,€13.70m,€10.70m
2014,Olympique Lyon,6,€3.00m,7,€1.50m,€-1.50m
2014,EA Guingamp,11,€2.56m,11,€2.50m,€-60k
2014,FC Évian Thonon Gaillard,12,€2.25m,14,€3.00m,€750k
2014,FC Metz,16,€1.90m,16,€5.00m,€3.10m
2014,OGC Nice,11,€1.30m,14,€7.40m,€6.10m
2014,SM Caen,11,€800k,9,-,€-800k
2014,FC Nantes,9,€420k,8,-,€-420k
2014,SC Bastia,24,€100k,17,€2.00m,€1.90m
2014,RC Lens,3,-,9,-,+-0
2014,Stade Reims,10,-,8,€5.50m,€5.50m
2015,Paris Saint-Germain,8,€116.10m,10,€17.40m,€-98.70m
2015,AS Monaco,26,€88.50m,24,€175.40m,€86.90m
2015,Olympique Lyon,11,€41.10m,10,€21.80m,€-19.30m
2015,Olympique Marseille,20,€19.75m,18,€54.45m,€34.70m
2015,LOSC Lille,19,€12.90m,14,€35.25m,€22.35m
2015,AS Saint-Étienne,11,€12.60m,10,€23.20m,€10.60m
2015,FC Lorient,11,€8.13m,12,€12.00m,€3.88m
2015,Stade Rennais FC,17,€5.00m,17,-,€-5.00m
2015,FC Nantes,11,€5.00m,11,€17.05m,€12.05m
2015,SM Caen,17,€4.65m,15,€14.00m,€9.35m
2015,OGC Nice,19,€3.10m,15,€14.00m,€10.90m
2015,FC Girondins Bordeaux,8,€3.00m,10,€4.50m,€1.50m
2015,FC Toulouse,7,€2.90m,9,€10.50m,€7.60m
2015,Montpellier HSC,11,€2.73m,8,€4.00m,€1.28m
2015,Stade Reims,9,€2.40m,9,€1.50m,€-900k
2015,EA Guingamp,12,€1.95m,11,€6.00m,€4.05m
2015,ESTAC Troyes,16,€300k,11,€5.50m,€5.20m
2015,SC Bastia,10,-,14,€1.70m,€1.70m
2015,Angers SCO,19,-,13,€3.20m,€3.20m
2015,GFC Ajaccio,8,-,9,-,+-0
2016,Paris Saint-Germain,12,€68.50m,11,€59.50m,€-9.00m
2016,AS Monaco,19,€42.00m,23,€14.95m,€-27.05m
2016,OGC Nice,19,€13.75m,15,€15.80m,€2.05m
2016,Olympique Lyon,10,€12.60m,9,€27.30m,€14.70m
2016,Olympique Marseille,21,€10.20m,22,€79.40m,€69.20m
2016,FC Girondins Bordeaux,9,€8.85m,11,€400k,€-8.45m
2016,FC Toulouse,14,€7.00m,14,€10.00m,€3.00m
2016,AS Saint-Étienne,12,€7.00m,14,€2.25m,€-4.75m
2016,FC Lorient,22,€5.60m,17,€32.00m,€26.40m
2016,Angers SCO,18,€5.20m,19,€4.40m,€-800k
2016,FC Nantes,9,€5.00m,10,€2.15m,€-2.86m
2016,LOSC Lille,15,€4.50m,18,€44.00m,€39.50m
2016,SM Caen,11,€4.25m,10,€11.00m,€6.75m
2016,AS Nancy-Lorraine,13,€2.30m,8,€5.50m,€3.20m
2016,Stade Rennais FC,18,€2.27m,13,€39.70m,€37.43m
2016,Dijon FCO,12,€1.65m,13,€1.25m,€-400k
2016,SC Bastia,12,€250k,11,€4.50m,€4.25m
2016,FC Metz,24,-,26,€775k,€775k
2016,EA Guingamp,13,-,16,€2.50m,€2.50m
2016,Montpellier HSC,8,-,12,€7.40m,€7.40m
2017,Paris Saint-Germain,10,€238.00m,12,€70.00m,€-168.00m
2017,AS Monaco,22,€101.50m,18,€177.50m,€76.00m
2017,LOSC Lille,25,€76.50m,28,€20.10m,€-56.40m
2017,Olympique Marseille,17,€62.00m,19,€2.75m,€-59.25m
2017,Olympique Lyon,17,€46.50m,17,€119.55m,€73.05m
2017,Stade Rennais FC,16,€35.90m,15,€15.05m,€-20.85m
2017,FC Girondins Bordeaux,21,€31.60m,20,€28.25m,€-3.35m
2017,OGC Nice,14,€24.30m,15,€24.50m,€200k
2017,AS Saint-Étienne,12,€19.30m,15,€12.00m,€-7.30m
2017,Angers SCO,13,€12.40m,15,€24.00m,€11.60m
2017,FC Nantes,14,€11.30m,8,€10.00m,€-1.30m
2017,SM Caen,14,€6.35m,13,€6.00m,€-350k
2017,Montpellier HSC,12,€5.70m,12,€20.00m,€14.30m
2017,Amiens SC,16,€5.63m,13,€8.00m,€2.37m
2017,Dijon FCO,12,€5.50m,11,€15.00m,€9.50m
2017,RC Strasbourg Alsace,14,€5.20m,13,-,€-5.20m
2017,FC Metz,20,€3.60m,17,€22.60m,€19.00m
2017,FC Toulouse,10,€3.50m,14,€13.00m,€9.50m
2017,EA Guingamp,11,€1.38m,13,€5.95m,€4.58m
2017,ESTAC Troyes,8,-,9,-,+-0
2018,Paris Saint-Germain,20,€222.00m,13,€108.50m,€-113.50m
2018,AS Monaco,26,€122.20m,19,€365.35m,€243.15m
2018,Olympique Marseille,10,€66.00m,7,€32.85m,€-33.15m
2018,Olympique Lyon,17,€46.45m,17,€90.10m,€43.65m
2018,LOSC Lille,13,€29.10m,17,€58.70m,€29.60m
2018,OGC Nice,12,€28.00m,11,€61.70m,€33.70m
2018,RC Strasbourg Alsace,14,€15.75m,12,€14.00m,€-1.75m
2018,FC Toulouse,17,€15.45m,13,€34.50m,€19.05m
2018,Stade Rennais FC,15,€15.00m,14,€18.50m,€3.50m
2018,AS Saint-Étienne,14,€15.00m,16,€9.20m,€-5.80m
2018,FC Nantes,13,€14.35m,12,€5.20m,€-9.15m
2018,FC Girondins Bordeaux,12,€13.69m,13,€50.70m,€37.02m
2018,Stade Reims,11,€11.50m,10,€11.00m,€-500k
2018,SM Caen,22,€9.95m,20,€9.50m,€-450k
2018,Montpellier HSC,11,€8.60m,10,€25.50m,€16.90m
2018,Amiens SC,19,€7.49m,23,€10.00m,€2.51m
2018,Dijon FCO,14,€5.20m,13,€4.00m,€-1.20m
2018,Angers SCO,18,€4.40m,14,€21.00m,€16.60m
2018,EA Guingamp,8,€3.50m,12,€4.00m,€500k
2018,Nîmes Olympique,12,€3.15m,6,-,€-3.15m
2019,AS Monaco,25,€140.00m,30,€83.00m,€-57.00m
2019,LOSC Lille,14,€97.40m,14,€169.50m,€72.10m
2019,Paris Saint-Germain,21,€95.00m,17,€112.40m,€17.40m
2019,Olympique Lyon,10,€88.00m,12,€135.32m,€47.32m
2019,Stade Rennais FC,20,€58.10m,20,€54.50m,€-3.60m
2019,OGC Nice,11,€52.20m,11,€22.60m,€-29.60m
2019,Olympique Marseille,10,€27.00m,12,€27.25m,€250k
2019,Montpellier HSC,14,€20.30m,14,€40.00m,€19.70m
2019,Amiens SC,23,€18.15m,15,€5.44m,€-12.72m
2019,FC Nantes,19,€14.75m,19,€38.50m,€23.75m
2019,Stade Reims,16,€14.70m,17,€16.60m,€1.90m
2019,FC Toulouse,21,€14.00m,16,€15.15m,€1.15m
2019,AS Saint-Étienne,24,€13.00m,14,€43.85m,€30.85m
2019,Angers SCO,14,€10.40m,15,€34.00m,€23.60m
2019,FC Metz,16,€10.35m,12,€800k,€-9.55m
2019,RC Strasbourg Alsace,6,€9.00m,9,€4.50m,€-4.50m
2019,Nîmes Olympique,14,€8.60m,16,€20.50m,€11.90m
2019,Dijon FCO,13,€7.97m,13,€24.50m,€16.54m
2019,Stade Brestois 29,12,€7.50m,12,€500k,€-7.00m
2019,FC Girondins Bordeaux,15,€7.00m,15,€44.25m,€37.25m
2020,Stade Rennais FC,16,€70.56m,19,€53.17m,€-17.39m
2020,Paris Saint-Germain,14,€62.00m,13,€400k,€-61.60m
2020,LOSC Lille,15,€40.43m,12,€104.00m,€63.57m
2020,Olympique Lyon,12,€37.04m,17,€49.10m,€12.06m
2020,AS Monaco,31,€36.00m,29,€12.88m,€-23.12m
2020,OGC Nice,23,€29.23m,22,€20.51m,€-8.72m
2020,FC Lorient,20,€26.50m,18,€6.50m,€-20.00m
2020,RC Lens,14,€19.00m,10,-,€-19.00m
2020,Stade Brestois 29,14,€16.10m,12,€12.00m,€-4.10m
2020,Dijon FCO,17,€15.80m,14,€17.00m,€1.20m
2020,FC Metz,23,€14.70m,19,€10.00m,€-4.70m
2020,Montpellier HSC,7,€13.10m,6,-,€-13.10m
2020,Olympique Marseille,8,€13.00m,6,€8.00m,€-5.00m
2020,RC Strasbourg Alsace,7,€12.00m,6,-,€-12.00m
2020,Nîmes Olympique,10,€11.25m,6,€500k,€-10.75m
2020,Angers SCO,16,€11.25m,11,€10.70m,€-550k
2020,Stade Reims,8,€11.20m,12,€17.00m,€5.80m
2020,FC Nantes,11,€5.00m,12,€500k,€-4.50m
2020,AS Saint-Étienne,19,€4.50m,20,€44.10m,€39.60m
2020,FC Girondins Bordeaux,11,-,10,€14.50m,€14.50m
2021,Paris Saint-Germain,20,€91.00m,14,€11.00m,€-80.00m
2021,Stade Rennais FC,23,€81.50m,18,€45.40m,€-36.10m
2021,Olympique Marseille,17,€53.62m,18,€5.00m,€-48.62m
2021,OGC Nice,19,€48.00m,19,€22.05m,€-25.95m
2021,AS Monaco,20,€34.50m,21,€31.14m,€-3.36m
2021,ESTAC Troyes,18,€19.10m,14,-,€-19.10m
2021,LOSC Lille,13,€18.60m,9,€54.40m,€35.80m
2021,RC Lens,16,€16.10m,16,€18.00m,€1.90m
2021,Stade Brestois 29,12,€9.25m,13,€13.20m,€3.95m
2021,FC Girondins Bordeaux,20,€8.80m,15,€15.60m,€6.80m
2021,FC Nantes,12,€7.50m,12,€15.60m,€8.10m
2021,Olympique Lyon,17,€6.50m,10,€46.50m,€40.00m
2021,FC Lorient,10,€6.00m,13,€10.00m,€4.00m
2021,Stade Reims,19,€6.00m,11,€14.80m,€8.80m
2021,RC Strasbourg Alsace,15,€3.00m,16,€16.00m,€13.00m
2021,Angers SCO,9,€1.37m,11,€11.10m,€9.73m
2021,AS Saint-Étienne,6,€300k,11,-,€-300k
2021,Montpellier HSC,11,€200k,13,€25.00m,€24.80m
2021,FC Metz,15,-,14,€23.50m,€23.50m
2021,Clermont Foot 63,14,-,13,-,+-0
2022,Paris Saint-Germain,25,€147.50m,29,€56.80m,€-90.70m
2022,Olympique Marseille,21,€80.40m,21,€15.48m,€-64.93m
2022,Stade Rennais FC,18,€76.00m,15,€70.00m,€-6.00m
2022,OGC Nice,22,€70.00m,19,€37.00m,€-33.00m
2022,AS Monaco,15,€43.50m,15,€116.20m,€72.70m
2022,RC Lens,18,€40.04m,16,€51.55m,€11.51m
2022,LOSC Lille,14,€26.00m,13,€99.50m,€73.50m
2022,ESTAC Troyes,22,€22.20m,21,€10.00m,€-12.20m
2022,Stade Reims,20,€20.10m,20,€28.55m,€8.45m
2022,FC Toulouse,10,€10.90m,10,€11.00m,€100k
2022,FC Nantes,11,€10.65m,8,-,€-10.65m
2022,Olympique Lyon,13,€9.45m,14,€46.35m,€36.90m
2022,Angers SCO,24,€6.00m,15,€23.00m,€17.00m
2022,FC Lorient,18,€5.70m,17,€14.25m,€8.55m
2022,Stade Brestois 29,12,€5.35m,14,-,€-5.35m
2022,RC Strasbourg Alsace,15,€4.50m,12,€1.00m,€-3.50m
2022,Clermont Foot 63,20,€2.30m,20,€21.40m,€19.10m
2022,AJ Auxerre,14,€1.75m,12,-,€-1.75m
2022,Montpellier HSC,11,€1.50m,10,€500k,€-1.00m
2022,AC Ajaccio,15,€300k,9,€600k,€300k
2023,Paris Saint-Germain,28,€349.50m,26,€203.00m,€-146.50m
2023,AS Monaco,15,€85.00m,13,€58.50m,€-26.50m
2023,Olympique Marseille,23,€72.00m,22,€41.40m,€-30.60m
2023,RC Lens,13,€63.90m,15,€67.54m,€3.64m
2023,Stade Rennais FC,16,€57.90m,22,€143.50m,€85.60m
2023,RC Strasbourg Alsace,17,€56.00m,15,€33.00m,€-23.00m
2023,Stade Reims,26,€49.00m,25,€59.55m,€10.55m
2023,OGC Nice,18,€43.50m,16,€16.40m,€-27.10m
2023,LOSC Lille,10,€32.20m,9,€38.30m,€6.10m
2023,FC Nantes,16,€21.95m,14,€21.50m,€-450k
2023,FC Lorient,19,€20.50m,14,€58.20m,€37.70m
2023,Olympique Lyon,28,€19.34m,23,€107.21m,€87.87m
2023,FC Toulouse,19,€13.00m,16,€13.20m,€200k
2023,Clermont Foot 63,15,€7.10m,16,€5.00m,€-2.10m
2023,Montpellier HSC,8,€5.95m,13,€37.75m,€31.80m
2023,FC Metz,23,€5.90m,13,€29.00m,€23.10m
2023,Stade Brestois 29,14,€3.50m,15,€8.60m,€5.10m
2023,Le Havre AC,14,€2.90m,15,-,€-2.90m
